country,location,disaster_type,disaster_subtype,start_year,start_month,total_deaths,no_affected,total_affected,total_damage_usd,total_damage_adjusted_usd
Malaysia,Peninsular East coast,Flood,Flood (General),1965,12,6,300000,300000,1000000.0,9956000.0
Malaysia,"Kelantan, Trengganu",Flood,Flood (General),1967,1,50,125000,140000,25600000.0,240732000.0
Malaysia,"Johore, S. Lowlands",Storm,Storm (General),1968,1,21,10000,10000,,
Malaysia,"West Malaysia, Capital",Flood,Flood (General),1970,12,61,243000,243000,37000000.0,298944000.0
Malaysia,Johore Bahru,Flood,Flood (General),1978,12,,3000,3000,,
Malaysia,East coast,Flood,Flood (General),1983,12,10,15000,15000,,
Malaysia,East Coast States of Trengganu and Kelantan,Flood,Flood (General),1986,11,11,25000,25000,11500000.0,32912000.0
Malaysia,East coast states,Flood,Flood (General),1987,12,3,2576,2576,,
Malaysia,Kelantan + East cost states,Flood,Riverine flood,1988,11,27,60000,60000,,
Malaysia,"Kelantan, Trengganu, Pahang, Perak, Johore and Sabah states",Flood,Riverine flood,1993,12,30,20000,25000,,
Malaysia,Palau Gaya (Borneo),Wildfire,Forest fire,1995,5,,,3000,,
Malaysia,Genting Highlands (Near Kuala Lumpur),Mass movement (wet),Landslide (wet),1995,6,20,,23,,
Malaysia,"Maradu, Long Lama (Northern Sarawak",Flood,Riverine flood,1996,2,,418,418,,
Malaysia,Pos Dipang (Perak State),Mass movement (wet),Mudslide,1996,8,50,,262,,
Malaysia,"Keningau, Sulaman, Tamparuli, Kiulu, Kota Kinabalu (Sabah state)",Storm,Tropical cyclone,1996,12,270,1150,4176,52000000.0,103996000.0
Malaysia,,Wildfire,Forest fire,1997,8,,,,300000000.0,586274000.0
Malaysia,"Kedah, Perlis, Pennang states",Storm,Tropical cyclone,1997,8,2,2115,2115,1000000.0,1954000.0
Malaysia,Sabah,Drought,Drought,1998,3,,5000,5000,,
Malaysia,,Wildfire,Forest fire,1998,3,,,,2000000.0,3849000.0
Malaysia,Penang & Kedah,Flood,Flood (General),1998,11,,2500,2500,,
Malaysia,"Pekan (Pahang State), Johor, Terengganu states",Flood,Riverine flood,1999,1,1,2000,2000,,
Malaysia,Pulau Pinang province,Storm,Storm (General),2000,9,,500,500,,
Malaysia,"Kuala Krai, Pasir Puteh, Kota Bharu, Pasir Mas, Tumpat districts (Kelantan province), Kubang Pasu, Kota Setar, Padang Terap districts (Kedah province), Besut district (Terengganu province)",Flood,Flash flood,2000,11,12,8000,8000,1000000.0,1822000.0
Malaysia,"Teluk Ipil area (Seberang Perai Selatan district, Pulau Pinang province)",Flood,Flash flood,2001,8,,10000,10000,,
Malaysia,"Inanam borough (Kota Kinabalu district, Sabah province), Beaufort, Papar, Penampang, Tuaran districts (Sabah province)",Flood,Flood (General),2001,10,,5000,5000,,
Malaysia,Kuala Lumpur province,Flood,Flood (General),2001,10,,200,200,,
Malaysia,"Pahang, Kelantan, Terengganu provinces",Flood,Riverine flood,2001,12,11,18000,18000,,
Malaysia,Simunjan district (Sarawak province),Mass movement (wet),Landslide (wet),2002,1,10,,,,
Malaysia,"Klang Valley area (Sepang district, Selangor province), Setapak Jaya, Jalan Pinang, Jalan Semarak, Jalan Tun Razak, Pudu boroughs (Kuala Lumpur district, Kuala Lumpu province), Petaling district (Selangor province)",Storm,Lightning/Thunderstorms,2002,3,2,155,155,,
Malaysia,"Kedah, Pahang, Perak provinces",Flood,Riverine flood,2003,10,3,13800,13800,,
Malaysia,"Kuala Terengganu, Kemaman, Marang, Dungun districts (Terengganu province), Kota Bharu district (Kelantan province), Kuantan district (Pahang province)",Flood,Flash flood,2003,11,5,3000,3000,,
Malaysia,"Kampung Pengkalan, Buang Sayang, Muhibbah Hujung, Muhibbah Baru, Sinar Baru, Lokan, Sri Tanjung areas (Kinabatangan district, Sabah province), Beluran area (Labuk & Sugut district, Sabah province), Kota Marud district (Sabah province)",Flood,Riverine flood,2003,12,,2000,2000,,
Malaysia,"Kuching, Bau, Mukah, Sibu, Samarahan districts (Sarawak province), Johor Baru, Pontian, Kota Tinggi districts (Johor province)",Flood,Riverine flood,2004,1,3,6900,6900,,
Malaysia,Johor province,Flood,Riverine flood,2004,3,,9138,9138,,
Malaysia,Kedah province,Storm,Storm (General),2004,7,,1000,1000,,
Malaysia,Kuala Lumpur province,Storm,Storm (General),2004,11,1,40000,40000,,
Malaysia,"Bera area (Temerluh district, Pahang province), Kuantan, Pekan districts (Pahang province), Kota Bharu, Gua Musang, Kuala Krai, Tanah Merah, Pasir Mas, Machang, Tumpat districts (Kelantan province), Dungun, Kemaman, Hulu Terengganu, Besut, Setiu districts (Terengganu province),",Flood,Riverine flood,2004,12,13,,15000,10000000.0,16608000.0
