country_code,year,RX5day_mm
MYS,1990,136.2509
MYS,1991,94.31748
MYS,1992,167.4941
MYS,1993,149.4238
MYS,1994,145.2196
MYS,1995,190.8324
MYS,1996,106.6012
MYS,1997,108.8145
MYS,1998,151.8968
MYS,1999,155.917
MYS,2000,117.8359
MYS,2001,111.3996
MYS,2002,103.2528
MYS,2003,111.5474
MYS,2004,121.3572
MYS,2005,114.0066
MYS,2006,127.485
MYS,2007,120.6321
MYS,2008,119.8845
MYS,2009,142.5536
MYS,2010,112.5954
MYS,2011,105.993
MYS,2012,121.3061
MYS,2013,124.8454
MYS,2014,168.5431
MYS,2015,117.7458
MYS,2016,131.1116
MYS,2017,134.8041
MYS,2018,136.5174
MYS,2019,134.7494
MYS,2020,145.4605
MYS,2021,201.2843
MYS,2022,152.2612
MYS,2023,168.2956
PHL,1990,248.3394
PHL,1991,292.7099
PHL,1992,202.42
PHL,1993,243.6157
PHL,1994,219.4814
PHL,1995,165.8168
PHL,1996,198.8782
PHL,1997,301.1982
PHL,1998,251.8942
PHL,1999,314.6736
PHL,2000,272.5811
PHL,2001,138.0536
PHL,2002,324.1237
PHL,2003,239.8107
PHL,2004,152.7466
PHL,2005,185.448
PHL,2006,197.5058
PHL,2007,326.4453
PHL,2008,199.5452
PHL,2009,321.1635
PHL,2010,156.1575
PHL,2011,213.9216
PHL,2012,594.262
PHL,2013,391.729
PHL,2014,197.6403
PHL,2015,219.8298
PHL,2016,214.8087
PHL,2017,230.5963
PHL,2018,233.8703
PHL,2019,177.4761
PHL,2020,185.588
PHL,2021,245.0063
PHL,2022,211.7136
PHL,2023,239.4059
