Model,Scenario,Region,Variable,Unit,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
0,0.0,MYS,Price|Carbon,US$2010/t CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.52508,31.05016,46.57524,62.10032,77.6254,92.119,106.6126,121.1062,135.5998,150.0934,165.84598,181.59856,197.35114,213.10372,228.8563,245.87992,262.90354,279.92716,296.95078,313.9744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,MYS,Price|Carbon|Demand|Industry,US$2010/t CO2,0.0,,,,,0.0,,,,,0.0,,,,,77.6254,,,,,150.0934,,,,,228.8563,,,,,313.9744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,MYS,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,0.0,,,,,0.0,,,,,0.0,,,,,77.6254,,,,,150.0934,,,,,228.8563,,,,,313.9744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,MYS,Price|Carbon|Demand|Transportation,US$2010/t CO2,0.0,,,,,0.0,,,,,0.0,,,,,77.6254,,,,,150.0934,,,,,228.8563,,,,,313.9744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,MYS,Price|Carbon|Supply,US$2010/t CO2,0.0,,,,,0.0,,,,,0.0,,,,,77.6254,,,,,150.0934,,,,,228.8563,,,,,313.9744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,PHL,Price|Carbon,US$2010/t CO2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.52508,31.05016,46.57524,62.10032,77.6254,92.119,106.6126,121.1062,135.5998,150.0934,165.84598,181.59856,197.35114,213.10372,228.8563,245.87992,262.90354,279.92716,296.95078,313.9744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,PHL,Price|Carbon|Demand|Industry,US$2010/t CO2,0.0,,,,,0.0,,,,,0.0,,,,,77.6254,,,,,150.0934,,,,,228.8563,,,,,313.9744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,PHL,Price|Carbon|Demand|Residential and Commercial,US$2010/t CO2,0.0,,,,,0.0,,,,,0.0,,,,,77.6254,,,,,150.0934,,,,,228.8563,,,,,313.9744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,PHL,Price|Carbon|Demand|Transportation,US$2010/t CO2,0.0,,,,,0.0,,,,,0.0,,,,,77.6254,,,,,150.0934,,,,,228.8563,,,,,313.9744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,0.0,PHL,Price|Carbon|Supply,US$2010/t CO2,0.0,,,,,0.0,,,,,0.0,,,,,77.6254,,,,,150.0934,,,,,228.8563,,,,,313.9744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
