Sensitivity Type,Parameter,HRe Exposure ($M),vs Base (%)
Insurance Penetration,MYS 5% / PHL 3%,0.51,-63.3
Insurance Penetration,MYS 5% / PHL 8%,1.21,-12.7
Insurance Penetration,MYS 5% / PHL 12%,1.78,27.8
Insurance Penetration,MYS 5% / PHL 15%,2.2,58.2
Insurance Penetration,MYS 10% / PHL 3%,0.6,-57.0
Insurance Penetration,MYS 10% / PHL 8%,1.3,-6.3
Insurance Penetration,MYS 10% / PHL 12%,1.87,34.2
Insurance Penetration,MYS 10% / PHL 15%,2.29,64.6
Insurance Penetration,MYS 15% / PHL 3%,0.69,-50.6
Insurance Penetration,MYS 15% / PHL 8%,1.39,0.0
Insurance Penetration,MYS 15% / PHL 12%,1.95,40.5
Insurance Penetration,MYS 15% / PHL 15%,2.38,70.9
Insurance Penetration,MYS 20% / PHL 3%,0.77,-44.3
Insurance Penetration,MYS 20% / PHL 8%,1.48,6.3
Insurance Penetration,MYS 20% / PHL 12%,2.04,46.8
Insurance Penetration,MYS 20% / PHL 15%,2.46,77.2
Insurance Penetration,MYS 25% / PHL 3%,0.86,-38.0
Insurance Penetration,MYS 25% / PHL 8%,1.57,12.7
Insurance Penetration,MYS 25% / PHL 12%,2.13,53.2
Insurance Penetration,MYS 25% / PHL 15%,2.55,83.5
Treaty Attachment,30%,0.83,-40.0
Treaty Attachment,50%,1.39,0.0
Treaty Attachment,70%,1.95,40.0
HRe Market Share,1.0%,0.46,-66.7
HRe Market Share,3.0%,1.39,0.0
HRe Market Share,5.0%,2.32,66.7
