Year,Country,Region,Scenario,Carbon_Price_USD_per_t,Source
2024,Malaysia,MYS,NZ2050,12.5491,NGFS GCAM 6.0 Scenario 4 — Net Zero 2050
2025,Malaysia,MYS,NZ2050,15.6864,NGFS GCAM 6.0 Scenario 4 — Net Zero 2050
2026,Malaysia,MYS,NZ2050,35.6322,NGFS GCAM 6.0 Scenario 4 — Net Zero 2050
2027,Malaysia,MYS,NZ2050,55.578,NGFS GCAM 6.0 Scenario 4 — Net Zero 2050
2028,Malaysia,MYS,NZ2050,75.5238,NGFS GCAM 6.0 Scenario 4 — Net Zero 2050
2029,Malaysia,MYS,NZ2050,95.4696,NGFS GCAM 6.0 Scenario 4 — Net Zero 2050
2030,Malaysia,MYS,NZ2050,115.4154,NGFS GCAM 6.0 Scenario 4 — Net Zero 2050
2024,Philippines,PHL,NZ2050,12.5491,NGFS GCAM 6.0 Scenario 4 — Net Zero 2050
2025,Philippines,PHL,NZ2050,15.6864,NGFS GCAM 6.0 Scenario 4 — Net Zero 2050
2026,Philippines,PHL,NZ2050,35.6322,NGFS GCAM 6.0 Scenario 4 — Net Zero 2050
2027,Philippines,PHL,NZ2050,55.578,NGFS GCAM 6.0 Scenario 4 — Net Zero 2050
2028,Philippines,PHL,NZ2050,75.5238,NGFS GCAM 6.0 Scenario 4 — Net Zero 2050
2029,Philippines,PHL,NZ2050,95.4696,NGFS GCAM 6.0 Scenario 4 — Net Zero 2050
2030,Philippines,PHL,NZ2050,115.4154,NGFS GCAM 6.0 Scenario 4 — Net Zero 2050
