Horizon,Pass_Through_Rate,Carbon_Price_Scenario,Carbon_Price_USD_per_t,MYS_Annual_Cost_USD_Bn,MYS_Pct_GDP,PHL_Annual_Cost_USD_Bn,PHL_Pct_GDP
2024,1%,Low (0.5× NZ2050),27.79,0.112,0.03,0.074,0.02
2024,1%,Baseline (NZ2050),55.58,0.224,0.05,0.148,0.03
2024,1%,Stress (2× NZ2050),111.16,0.448,0.11,0.296,0.07
2024,3%,Low (0.5× NZ2050),27.79,0.336,0.08,0.222,0.05
2024,3%,Baseline (NZ2050),55.58,0.671,0.16,0.444,0.1
2024,3%,Stress (2× NZ2050),111.16,1.343,0.33,0.888,0.2
2024,5%,Low (0.5× NZ2050),27.79,0.559,0.14,0.37,0.08
2024,5%,Baseline (NZ2050),55.58,1.119,0.27,0.74,0.17
2024,5%,Stress (2× NZ2050),111.16,2.238,0.55,1.48,0.33
2030,1%,Low (0.5× NZ2050),27.79,0.126,0.03,0.081,0.02
2030,1%,Baseline (NZ2050),55.58,0.252,0.06,0.162,0.04
2030,1%,Stress (2× NZ2050),111.16,0.503,0.12,0.324,0.07
2030,3%,Low (0.5× NZ2050),27.79,0.377,0.09,0.243,0.05
2030,3%,Baseline (NZ2050),55.58,0.755,0.18,0.486,0.11
2030,3%,Stress (2× NZ2050),111.16,1.509,0.37,0.972,0.22
2030,5%,Low (0.5× NZ2050),27.79,0.629,0.15,0.405,0.09
2030,5%,Baseline (NZ2050),55.58,1.258,0.31,0.81,0.18
2030,5%,Stress (2× NZ2050),111.16,2.516,0.62,1.62,0.36
