Sector,Pass_Through_Rate,Baseline_Cost_USD_Millions,Stress_Cost_USD_Millions
Energy,1%,155.53503300000003,311.07006600000005
Energy,3%,466.60509900000005,933.2101980000001
Energy,5%,777.6751650000001,1555.3503300000002
Industrial Processes,1%,16.601148600000002,33.202297200000004
Industrial Processes,3%,49.803445800000006,99.60689160000001
Industrial Processes,5%,83.00574300000001,166.01148600000002
Agriculture,1%,5.618935800000001,11.237871600000002
Agriculture,3%,16.8568074,33.7136148
Agriculture,5%,28.094679000000003,56.189358000000006
Waste,1%,10.832152200000001,21.664304400000002
Waste,3%,32.4964566,64.9929132
Waste,5%,54.16076100000001,108.32152200000002
